question,answer,domain,source,quality_score
Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,Yes. Programmed cell death (PCD) is the regulated death of cells within an organism. The lace plant (Aponogeton madagascariensis) produces perforations in its leaves through PCD. The leaves of the plant co...,medical,PubMedQA,0.95
Landolt C and snellen e acuity: differences in strabismus amblyopia?,No. Assessment of visual acuity depends on the optotypes used for measurement. The ability to recognize different optotypes differs even if their critical details appear under the same visual angle. Since...,medical,PubMedQA,0.95
"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",Yes. Apparent life-threatening events in infants are a difficult and frequent problem in pediatric practice. The prognosis is uncertain because of risk of sudden infant death syndrome....,medical,PubMedQA,0.95
Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,"No. The transanal endorectal pull-through (TERPT) is becoming the most popular procedure in the treatment of Hirschsprung disease (HD), but overstretching of the anal sphincters remains a critical issue t...",medical,PubMedQA,0.95
Can tailored interventions increase mammography use among HMO women?,"Yes. Telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening. However, there has been little research testing, within the same randomize...",medical,PubMedQA,0.95
Double balloon enteroscopy: is it efficacious and safe in a community setting?,"Yes. From March 2007 to January 2011, 88 DBE procedures were performed on 66 patients. Indications included evaluation anemia/gastrointestinal bleed, small bowel IBD and dilation of strictures. Video-capsu...",medical,PubMedQA,0.95
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"Maybe. Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, a...",medical,PubMedQA,0.95
Is adjustment for reporting heterogeneity necessary in sleep disorders?,No. Anchoring vignettes are brief texts describing a hypothetical character who illustrates a certain fixed level of a trait under evaluation. This research uses vignettes to elucidate factors associated ...,medical,PubMedQA,0.95
Do mutations causing low HDL-C promote increased carotid intima-media thickness?,"No. Although observational data support an inverse relationship between high-density lipoprotein (HDL) cholesterol and coronary heart disease (CHD), genetic HDL deficiency states often do not correlate wi...",medical,PubMedQA,0.95
A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,"Yes. We evaluated the usefulness of a short stay or 23-hour ward in a pediatric unit of a large teaching hospital, Westmead Hospital, and an academic Children's hospital, The New Children's Hospital, to de...",medical,PubMedQA,0.95
Did Chile's traffic law reform push police enforcement?,Yes. The objective of the current study is to determine to what extent the reduction of Chile's traffic fatalities and injuries during 2000-2012 was related to the police traffic enforcement increment regi...,medical,PubMedQA,0.95
Therapeutic anticoagulation in the trauma patient: is it safe?,No. Trauma patients who require therapeutic anticoagulation pose a difficult treatment problem. The purpose of this study was to determine: (1) the incidence of complications using therapeutic anticoagula...,medical,PubMedQA,0.95
Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,Yes. Specific markers for differentiation of nonalcoholic (NASH) from alcoholic steatohepatitis (ASH) are lacking. We investigated the role of routine laboratory parameters in distinguishing NASH from ASH....,medical,PubMedQA,0.95
